规则编号,适用方向,依据字段,匹配方式,关键词,排除关键词,对手名称含,一级标签,二级标签,三级标签,优先级,备注
R0292,支出,摘要或备注,包含,活动开支,,,经营类,运营成本,其他运营成本,910,词库
R0293,支出,摘要或备注,包含,标书,,,经营类,运营成本,其他运营成本,910,词库
R0294,支出,摘要或备注,包含,化验费,,,经营类,运营成本,其他运营成本,910,词库
R0295,支出,摘要或备注,包含,中标费,,,经营类,运营成本,其他运营成本,910,词库
R0296,支出,摘要或备注,包含,配音费,,,经营类,运营成本,其他运营成本,910,词库
R0297,支出,摘要或备注,包含,展台费,,,经营类,运营成本,其他运营成本,910,词库
R0298,支出,摘要或备注,包含,渠道费,,,经营类,运营成本,其他运营成本,910,词库
R0299,支出,摘要或备注,包含,运杂费,,,经营类,运营成本,其他运营成本,910,词库
R0300,支出,摘要或备注,包含,咨训,,,经营类,运营成本,其他运营成本,910,词库
R0301,支出,摘要或备注,包含,冷藏费,,,经营类,运营成本,其他运营成本,910,词库
R0302,支出,摘要或备注,包含,年会,,,经营类,运营成本,其他运营成本,910,词库
R0303,支出,摘要或备注,包含,日用杂品,,,经营类,运营成本,其他运营成本,910,词库
R0304,支出,摘要或备注,包含,咨询,,,经营类,运营成本,其他运营成本,910,词库
